Time (min),Temperature (°C),Compressor State,Error (°C),Perturbation (°C)
595,21.40000000000001,0,-0.5999999999999908,0.0
596,21.40000000000001,0,-0.5999999999999908,0.0
597,21.40000000000001,0,-0.5999999999999908,0.0
598,21.40000000000001,0,-0.5999999999999908,0.0
599,21.40000000000001,0,-0.5999999999999908,0.0
600,21.40000000000001,0,-0.5999999999999908,0.0
601,21.40000000000001,0,-0.5999999999999908,0.0
602,21.40000000000001,0,-0.5999999999999908,0.0
603,21.40000000000001,0,-0.5999999999999908,0.0
604,21.40000000000001,0,-0.5999999999999908,0.0
605,21.40000000000001,0,-0.5999999999999908,0.0
606,21.40000000000001,0,-0.5999999999999908,0.0
607,21.40000000000001,0,-0.5999999999999908,0.0
608,21.40000000000001,0,-0.5999999999999908,0.0
609,21.40000000000001,0,-0.5999999999999908,0.0
610,21.40000000000001,0,-0.5999999999999908,0.0
611,21.40000000000001,0,-0.5999999999999908,0.0
612,21.40000000000001,0,-0.5999999999999908,0.0
613,21.40000000000001,0,-0.5999999999999908,0.0
614,21.40000000000001,0,-0.5999999999999908,0.0
615,21.40000000000001,0,-0.5999999999999908,0.0
616,21.40000000000001,0,-0.5999999999999908,0.0
617,21.40000000000001,0,-0.5999999999999908,0.0
618,21.40000000000001,0,-0.5999999999999908,0.0
619,21.40000000000001,0,-0.5999999999999908,0.0
620,21.40000000000001,0,-0.5999999999999908,0.0
621,21.40000000000001,0,-0.5999999999999908,0.0
622,21.40000000000001,0,-0.5999999999999908,0.0
623,21.40000000000001,0,-0.5999999999999908,0.0
624,21.40000000000001,0,-0.5999999999999908,0.0
